GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
book-lending-system,com.hcl.booklendingsystem.exception,ErrorResponse,36,0,0,0,16,0,8,0,8,0
book-lending-system,com.hcl.booklendingsystem.exception,GlobalExceptionHandler,127,3,0,0,23,1,7,1,7,1
book-lending-system,com.hcl.booklendingsystem.exception,EmailExistException,4,0,0,0,2,0,1,0,1,0
book-lending-system,com.hcl.booklendingsystem.exception,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
book-lending-system,com.hcl.booklendingsystem.exception,BookNotFoundException,0,4,0,0,0,2,0,1,0,1
book-lending-system,com.hcl.booklendingsystem.exception,CommonException,4,0,0,0,2,0,1,0,1,0
book-lending-system,com.hcl.booklendingsystem.exception,UserException,0,4,0,0,0,2,0,1,0,1
book-lending-system,com.hcl.booklendingsystem.exception,BookIdAndUserIdEmptyException,0,4,0,0,0,2,0,1,0,1
book-lending-system,com.hcl.booklendingsystem.entity,BookHistory,6,25,0,0,2,4,2,7,2,7
book-lending-system,com.hcl.booklendingsystem.entity,Book,0,38,0,0,0,7,0,11,0,11
book-lending-system,com.hcl.booklendingsystem.entity,Author,0,17,0,0,0,4,0,5,0,5
book-lending-system,com.hcl.booklendingsystem.entity,BookRequest,6,25,0,0,2,4,2,7,2,7
book-lending-system,com.hcl.booklendingsystem.entity,User,0,38,0,0,0,7,0,11,0,11
book-lending-system,com.hcl.booklendingsystem,BookLendingSystemApplication,5,3,0,0,2,1,1,1,1,1
book-lending-system,com.hcl.booklendingsystem.validator,UserRequestValidator,46,7,6,0,13,2,7,2,4,2
book-lending-system,com.hcl.booklendingsystem.service,LoginServiceImpl,0,23,0,0,0,7,0,3,0,3
book-lending-system,com.hcl.booklendingsystem.service,UserServiceImpl,0,46,0,0,0,13,0,4,0,4
book-lending-system,com.hcl.booklendingsystem.service,BookServiceImpl,5,267,2,18,0,67,3,15,1,7
book-lending-system,com.hcl.booklendingsystem.service,BookScheduler,5,49,1,1,1,13,2,4,1,4
book-lending-system,com.hcl.booklendingsystem.dto,CommonResponse,6,11,0,0,2,2,2,3,2,3
book-lending-system,com.hcl.booklendingsystem.dto,BookRequestDetail,0,10,0,0,0,3,0,3,0,3
book-lending-system,com.hcl.booklendingsystem.dto,LoginResponse,9,15,0,0,3,2,3,4,3,4
book-lending-system,com.hcl.booklendingsystem.dto,BorrowRequest,0,10,0,0,0,3,0,3,0,3
book-lending-system,com.hcl.booklendingsystem.dto,BookRequestDetails,0,24,0,0,0,5,0,7,0,7
book-lending-system,com.hcl.booklendingsystem.dto,LoginRequest,0,17,0,0,0,4,0,5,0,5
book-lending-system,com.hcl.booklendingsystem.dto,BookListResponse,6,18,0,0,2,3,2,5,2,5
book-lending-system,com.hcl.booklendingsystem.dto,UserRequest,0,31,0,0,0,6,0,9,0,9
book-lending-system,com.hcl.booklendingsystem.dto,GetBooksOutput,15,23,0,0,5,2,5,6,5,6
book-lending-system,com.hcl.booklendingsystem.controller,UserController,10,65,2,4,2,13,3,4,1,3
book-lending-system,com.hcl.booklendingsystem.controller,LoginController,0,79,0,4,0,15,0,5,0,3
book-lending-system,com.hcl.booklendingsystem.controller,BookController,0,192,2,16,0,43,2,13,0,6
book-lending-system,com.hcl.booklendingsystem.config,SwaggerConfig,0,15,0,0,0,6,0,2,0,2
book-lending-system,com.hcl.booklendingsystem.util,BookLendingSystemConstants,0,4,0,0,0,1,0,1,0,1
